,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
68829,12000,12000.0,12.12,36,debt_consolidation,19.41%,TX,MORTGAGE,8750.0,712.0,10.0,32028.0,1.0,4 years
694,10000,8175.26,8.63,36,debt_consolidation,5.91%,GA,MORTGAGE,7500.0,732.0,16.0,18343.0,0.0,7 years
61873,11575,11575.0,7.9,36,debt_consolidation,17.47%,TX,MORTGAGE,2833.33,732.0,8.0,5654.0,0.0,10+ years
94081,20000,20000.0,6.62,36,credit_card,21.61%,DC,MORTGAGE,8161.33,722.0,14.0,27904.0,1.0,8 years
101622,6000,3475.0,14.7,36,debt_consolidation,10.23%,MD,RENT,6500.0,642.0,6.0,4103.0,0.0,1 year
21900,2800,2800.0,10.0,36,debt_consolidation,20.32%,CA,RENT,3250.0,702.0,4.0,8717.0,0.0,5 years
70285,6000,6000.0,14.09,36,credit_card,9.93%,CA,RENT,4250.0,682.0,6.0,5815.0,1.0,3 years
16069,20000,14750.0,6.91,36,debt_consolidation,15.16%,CO,RENT,9208.0,737.0,10.0,20965.0,0.0,3 years
57923,22000,22000.0,13.99,60,debt_consolidation,18.28%,MI,MORTGAGE,6083.33,722.0,9.0,20181.0,0.0,8 years
99914,10000,10000.0,13.11,36,debt_consolidation,20.34%,MI,RENT,5416.67,677.0,9.0,8066.0,0.0,10+ years
100662,9450,9450.0,12.12,36,credit_card,11.74%,IL,MORTGAGE,4666.67,692.0,13.0,17639.0,2.0,10+ years
20530,10400,10325.0,7.66,36,debt_consolidation,13.02%,CA,MORTGAGE,6354.0,727.0,10.0,19656.0,3.0,10+ years
20329,15875,15818.07,15.28,60,debt_consolidation,22.10%,CA,RENT,3000.0,722.0,5.0,14289.0,2.0,2 years
53424,18000,18000.0,12.12,60,other,14.89%,VA,MORTGAGE,8333.33,732.0,7.0,4038.0,0.0,5 years
47764,8000,8000.0,8.9,36,other,2.93%,NY,RENT,5000.0,712.0,8.0,5540.0,0.0,2 years
94950,12000,12000.0,14.33,36,moving,20.06%,NY,RENT,4166.67,762.0,8.0,14163.0,0.0,2 years
15213,20000,12150.0,6.54,60,debt_consolidation,12.36%,NY,OWN,5000.0,797.0,9.0,7960.0,2.0,10+ years
38976,10000,10000.0,16.77,36,debt_consolidation,18.55%,CA,RENT,2916.67,662.0,9.0,7565.0,3.0,4 years
40113,24500,23475.0,19.03,60,debt_consolidation,23.02%,MD,RENT,4497.0,682.0,13.0,18906.0,0.0,10+ years
71538,10000,10000.0,12.12,36,debt_consolidation,19.58%,CA,RENT,6250.0,697.0,17.0,16348.0,0.0,5 years
48972,3600,3600.0,7.9,36,credit_card,26.21%,OH,MORTGAGE,4166.67,737.0,19.0,25.0,2.0,3 years
31876,12000,12000.0,17.49,60,debt_consolidation,6.94%,OR,MORTGAGE,5445.0,672.0,8.0,4904.0,0.0,9 years
48894,6950,6950.0,10.74,36,credit_card,20.71%,IL,OWN,4583.33,687.0,7.0,18814.0,0.0,10+ years
74320,8525,8525.0,10.16,36,debt_consolidation,26.14%,MT,MORTGAGE,4583.33,707.0,8.0,31398.0,0.0,10+ years
65600,5000,5000.0,14.33,36,credit_card,28.51%,CO,RENT,2750.0,692.0,14.0,5957.0,2.0,3 years
38529,4800,4800.0,18.25,60,debt_consolidation,13.81%,OR,RENT,3750.0,697.0,13.0,16302.0,0.0,10+ years
18088,6000,6000.0,13.35,36,debt_consolidation,21.36%,NV,MORTGAGE,5000.0,667.0,11.0,4363.0,3.0,10+ years
47960,4000,4000.0,19.22,60,small_business,9.03%,VA,RENT,3700.0,682.0,19.0,2177.0,2.0,2 years
48295,14000,14000.0,6.03,36,debt_consolidation,14.67%,CA,RENT,7500.0,747.0,12.0,16648.0,0.0,10+ years
46245,23500,23450.0,14.65,36,debt_consolidation,19.48%,CA,RENT,4000.0,687.0,7.0,20542.0,0.0,n/a
13454,2500,2500.0,15.95,36,major_purchase,24.07%,CA,MORTGAGE,1500.0,667.0,10.0,2684.0,3.0,1 year
16524,2000,2000.0,6.17,36,major_purchase,2.63%,CA,RENT,1600.0,747.0,9.0,736.0,0.0,3 years
92631,24000,23925.0,16.29,60,credit_card,11.77%,NJ,MORTGAGE,7800.0,677.0,11.0,20676.0,3.0,2 years
14193,12800,12800.0,11.49,60,debt_consolidation,6.72%,CT,MORTGAGE,4166.67,727.0,7.0,11992.0,1.0,1 year
51829,8000,8000.0,7.9,36,wedding,21.58%,CA,RENT,5166.67,727.0,5.0,0.0,0.0,1 year
31000,3000,3000.0,9.99,36,credit_card,21.30%,MO,OWN,2333.33,712.0,10.0,3168.0,1.0,1 year
86532,7000,7000.0,7.9,36,credit_card,1.41%,FL,RENT,12500.0,727.0,4.0,5093.0,0.0,7 years
8102,18000,17975.0,13.48,36,credit_card,6.24%,IL,MORTGAGE,8333.33,692.0,13.0,14838.0,0.0,10+ years
3112,9000,5975.0,14.11,36,debt_consolidation,8.21%,CA,MORTGAGE,4167.0,672.0,7.0,19696.0,1.0,3 years
31448,11000,11000.0,10.99,36,debt_consolidation,4.26%,SC,MORTGAGE,6666.67,697.0,11.0,4124.0,0.0,4 years
51408,6000,6000.0,7.9,36,major_purchase,14.99%,IL,RENT,4416.67,722.0,10.0,2928.0,0.0,2 years
6646,6500,6475.0,7.74,36,debt_consolidation,18%,NH,RENT,1500.0,787.0,5.0,2816.0,0.0,2 years
87572,19500,19500.0,18.49,36,credit_card,9.79%,MD,RENT,10000.0,677.0,16.0,14957.0,1.0,2 years
33225,16000,16000.0,17.27,60,major_purchase,19.26%,MD,RENT,7000.0,697.0,7.0,5231.0,1.0,10+ years
93794,18000,17950.0,14.33,60,debt_consolidation,13.98%,KS,MORTGAGE,12916.67,687.0,11.0,14890.0,2.0,10+ years
54455,30000,29975.0,23.33,60,debt_consolidation,17.39%,FL,MORTGAGE,7083.33,667.0,21.0,56145.0,1.0,10+ years
93742,10000,10000.0,14.09,36,debt_consolidation,5.82%,LA,RENT,8750.0,662.0,14.0,11394.0,0.0,3 years
12860,16000,15900.0,15.58,60,debt_consolidation,12.86%,WA,MORTGAGE,5427.42,702.0,11.0,19407.0,1.0,5 years
41993,35000,35000.0,17.58,36,debt_consolidation,11.80%,MA,MORTGAGE,13333.33,692.0,12.0,21393.0,1.0,10+ years
18447,8000,8000.0,13.72,36,wedding,9.67%,TX,RENT,7758.33,667.0,6.0,12110.0,1.0,2 years
71782,14500,14500.0,13.11,36,debt_consolidation,28.29%,WA,MORTGAGE,5988.67,702.0,12.0,18020.0,2.0,10+ years
7789,12000,11925.0,10.62,36,other,19.02%,VA,RENT,5000.0,722.0,9.0,11779.0,0.0,1 year
19675,4500,4500.0,13.43,36,car,1.23%,CA,RENT,11500.0,672.0,5.0,1847.0,1.0,1 year
5858,16500,16350.0,11.83,36,debt_consolidation,17.44%,TX,RENT,4810.08,727.0,7.0,24351.0,1.0,3 years
43307,10000,10000.0,9.91,36,debt_consolidation,14.32%,MN,MORTGAGE,3666.67,707.0,9.0,17161.0,0.0,1 year
88490,35000,35000.0,19.05,60,credit_card,13.40%,CA,MORTGAGE,9166.67,692.0,7.0,26633.0,0.0,1 year
101891,21000,6165.31,11.09,36,home_improvement,21.28%,CA,OWN,18333.33,747.0,31.0,270800.0,5.0,2 years
102234,8400,6725.0,15.45,36,debt_consolidation,15.71%,MD,RENT,7083.33,642.0,7.0,14578.0,3.0,< 1 year
65443,6000,6000.0,7.9,36,credit_card,9.31%,TX,OWN,1750.0,707.0,14.0,5056.0,0.0,6 years
47597,12000,12000.0,19.22,36,debt_consolidation,14.62%,CT,OWN,4166.67,667.0,3.0,6309.0,0.0,6 years
30397,12100,12100.0,16.89,36,small_business,11.16%,TX,MORTGAGE,6166.67,667.0,5.0,2081.0,0.0,4 years
92868,25000,25000.0,14.09,36,home_improvement,4.79%,MD,MORTGAGE,6833.33,677.0,5.0,8811.0,0.0,8 years
89683,16000,15925.0,6.03,36,debt_consolidation,14.48%,CA,MORTGAGE,7333.33,782.0,11.0,71838.0,1.0,10+ years
48006,27000,27000.0,18.25,36,home_improvement,22.32%,SC,MORTGAGE,8583.33,692.0,9.0,6658.0,1.0,8 years
66892,12250,12250.0,18.75,36,debt_consolidation,17.21%,LA,OWN,2916.67,667.0,7.0,10523.0,0.0,7 years
79618,10000,10000.0,17.77,36,debt_consolidation,22.60%,AZ,RENT,2500.0,667.0,12.0,12938.0,2.0,4 years
55180,9175,9175.0,13.67,36,credit_card,19.43%,IL,MORTGAGE,7083.33,677.0,8.0,25639.0,0.0,8 years
75159,14075,14075.0,15.31,36,debt_consolidation,25.70%,VA,OWN,4000.0,682.0,13.0,11907.0,2.0,5 years
48624,13100,13100.0,18.55,36,debt_consolidation,23.24%,NY,RENT,7968.75,662.0,19.0,19607.0,1.0,10+ years
75022,14675,14675.0,8.9,36,debt_consolidation,14.95%,NY,MORTGAGE,4000.0,717.0,6.0,12764.0,0.0,7 years
5733,5000,4900.0,11.14,36,major_purchase,2.84%,FL,RENT,3200.0,712.0,6.0,2650.0,2.0,3 years
92795,18000,18000.0,13.11,36,debt_consolidation,26.54%,OR,MORTGAGE,4166.67,672.0,11.0,16680.0,0.0,10+ years
94514,12000,12000.0,7.62,36,debt_consolidation,15.10%,CO,RENT,5666.67,777.0,7.0,12094.0,0.0,10+ years
83906,19400,19400.0,14.33,36,debt_consolidation,16.15%,MA,MORTGAGE,4583.33,682.0,12.0,12434.0,0.0,7 years
93318,18000,18000.0,12.12,36,debt_consolidation,19.29%,IL,RENT,3333.33,667.0,15.0,26573.0,0.0,10+ years
62203,12000,12000.0,17.77,36,debt_consolidation,9.84%,NY,MORTGAGE,7500.0,667.0,11.0,15866.0,0.0,7 years
60969,8000,8000.0,13.11,36,debt_consolidation,26.11%,MN,MORTGAGE,4166.67,677.0,15.0,11500.0,0.0,< 1 year
94593,23750,23750.0,19.72,60,debt_consolidation,14.22%,CT,RENT,8333.33,712.0,12.0,10549.0,3.0,2 years
12932,7500,7475.0,15.58,36,debt_consolidation,10.74%,VA,MORTGAGE,5000.0,697.0,8.0,8257.0,0.0,2 years
37813,5500,5500.0,12.69,36,debt_consolidation,21.24%,OH,RENT,1666.67,682.0,7.0,5056.0,1.0,< 1 year
70028,16950,16950.0,17.27,60,debt_consolidation,26.62%,OK,MORTGAGE,3583.33,712.0,7.0,12588.0,3.0,10+ years
80138,3000,2950.0,11.14,36,major_purchase,27.74%,VA,MORTGAGE,4333.33,717.0,6.0,6346.0,0.0,5 years
26033,1600,1600.0,13.49,36,debt_consolidation,12.10%,CA,RENT,3200.0,672.0,5.0,1214.0,0.0,6 years
26950,6000,6000.0,7.49,36,home_improvement,14.66%,NC,MORTGAGE,5833.33,717.0,12.0,7961.0,0.0,9 years
86660,7350,7350.0,12.12,36,debt_consolidation,19.85%,CA,OWN,3355.05,697.0,19.0,11626.0,3.0,10+ years
97487,12825,12825.0,17.77,36,debt_consolidation,24.41%,CA,MORTGAGE,3416.67,672.0,15.0,8539.0,1.0,10+ years
88522,24000,23975.0,21.0,60,debt_consolidation,23.69%,OK,MORTGAGE,6500.0,687.0,17.0,36555.0,3.0,6 years
64166,10000,10000.0,18.49,60,debt_consolidation,16.47%,FL,RENT,4104.67,697.0,5.0,7597.0,0.0,5 years
68487,5500,5500.0,14.33,36,debt_consolidation,27.83%,WV,OWN,1541.67,677.0,5.0,10481.0,1.0,n/a
15014,17500,17500.0,14.72,36,debt_consolidation,9.30%,CA,RENT,9519.75,697.0,9.0,31279.0,0.0,10+ years
98373,10000,10000.0,13.11,36,credit_card,19.01%,OH,MORTGAGE,7500.0,682.0,11.0,14426.0,1.0,9 years
17664,20000,16275.0,6.17,36,debt_consolidation,12.27%,MD,MORTGAGE,8083.33,772.0,13.0,29813.0,1.0,10+ years
31943,11600,11600.0,6.99,36,debt_consolidation,8.62%,CA,RENT,5833.33,737.0,8.0,2671.0,1.0,< 1 year
29365,12000,12000.0,13.99,60,debt_consolidation,12.98%,CT,RENT,4166.67,717.0,8.0,2316.0,1.0,3 years
1800,13000,6770.1,11.26,36,small_business,14.05%,CA,MORTGAGE,7666.67,722.0,8.0,9551.0,0.0,9 years
57003,8575,8550.0,17.27,36,debt_consolidation,9.84%,NY,RENT,2500.0,667.0,6.0,8807.0,2.0,7 years
66296,6100,6100.0,14.09,36,credit_card,9.51%,LA,RENT,6666.67,687.0,10.0,5665.0,2.0,2 years
49473,14000,14000.0,15.31,36,credit_card,14.26%,PA,MORTGAGE,5000.0,682.0,5.0,11249.0,2.0,10+ years
92016,10500,10500.0,14.33,36,debt_consolidation,19.55%,FL,MORTGAGE,5666.67,672.0,7.0,11301.0,0.0,10+ years
82922,19600,19525.0,21.49,60,small_business,9.76%,CA,RENT,4170.0,677.0,8.0,11669.0,0.0,4 years
98272,15000,15000.0,15.8,36,credit_card,10.27%,NV,RENT,3333.33,672.0,11.0,10108.0,0.0,4 years
94925,8000,8000.0,17.27,36,other,5.28%,AZ,MORTGAGE,5833.33,727.0,11.0,12484.0,1.0,10+ years
70905,20000,20000.0,21.49,36,debt_consolidation,27.47%,TX,MORTGAGE,7750.0,662.0,15.0,26976.0,0.0,2 years
6723,11000,10969.64,12.53,36,debt_consolidation,18.89%,IL,RENT,3500.0,702.0,6.0,6811.0,1.0,2 years
102775,6000,5905.66,17.9,36,credit_card,6.60%,MI,RENT,4166.67,677.0,5.0,3433.0,1.0,2 years
84633,12000,12000.0,11.14,36,debt_consolidation,3.11%,CA,MORTGAGE,10833.33,707.0,12.0,11941.0,0.0,2 years
58263,17000,17000.0,13.11,36,debt_consolidation,16.92%,CA,RENT,5083.33,692.0,10.0,8890.0,0.0,7 years
69300,6250,6250.0,7.9,36,debt_consolidation,8.45%,IL,RENT,1916.67,722.0,6.0,3295.0,0.0,1 year
76916,27825,27825.0,23.76,60,debt_consolidation,12.86%,CA,RENT,6250.0,667.0,16.0,27093.0,1.0,4 years
97076,30000,30000.0,15.31,36,debt_consolidation,15.42%,NJ,RENT,8333.33,682.0,21.0,29060.0,1.0,8 years
2746,4200,3969.9,14.11,36,home_improvement,4.62%,OH,MORTGAGE,1558.42,677.0,6.0,2255.0,1.0,< 1 year
95637,3800,3800.0,21.98,36,small_business,8.31%,CA,RENT,4333.33,682.0,6.0,4843.0,2.0,7 years
53567,2000,2000.0,15.31,36,moving,21.43%,NC,RENT,2766.67,672.0,5.0,2162.0,3.0,< 1 year
77867,6000,6000.0,14.09,36,debt_consolidation,24.25%,AZ,RENT,4000.0,682.0,12.0,24934.0,1.0,10+ years
65121,21000,21000.0,19.05,60,debt_consolidation,16.24%,TX,RENT,8416.67,687.0,8.0,8764.0,2.0,5 years
41900,2500,2500.0,13.49,36,credit_card,6.24%,NY,RENT,5416.67,682.0,8.0,15373.0,0.0,6 years
33269,2400,2400.0,16.77,36,other,17%,WA,RENT,2700.0,692.0,3.0,3418.0,1.0,3 years
48581,13000,13000.0,10.74,36,credit_card,15.46%,CA,RENT,2166.67,722.0,4.0,11101.0,0.0,3 years
52893,4800,4800.0,14.65,36,credit_card,13.90%,HI,RENT,5000.0,667.0,8.0,7391.0,0.0,2 years
36929,17475,17475.0,9.91,36,credit_card,17.76%,NJ,RENT,3333.33,732.0,15.0,17261.0,1.0,2 years
57431,16450,16400.0,21.97,60,debt_consolidation,25.59%,PA,MORTGAGE,2833.33,672.0,23.0,12670.0,2.0,5 years
40879,14000,14000.0,14.65,36,debt_consolidation,3.47%,CA,MORTGAGE,8750.0,682.0,6.0,9035.0,1.0,10+ years
57586,2500,2500.0,17.27,36,other,11.34%,OH,MORTGAGE,5833.33,667.0,8.0,14122.0,0.0,8 years
62177,8000,8000.0,18.49,36,debt_consolidation,14.45%,VA,RENT,4166.67,662.0,10.0,9425.0,2.0,4 years
6020,5000,5000.0,12.53,36,debt_consolidation,21.49%,FL,RENT,3108.33,707.0,8.0,0.0,0.0,2 years
73741,15000,15000.0,13.11,36,debt_consolidation,12.78%,MA,RENT,9000.0,692.0,19.0,11016.0,0.0,< 1 year
32694,25000,24814.89,12.69,60,wedding,3.83%,NY,MORTGAGE,22916.67,722.0,13.0,34069.0,0.0,10+ years
71766,3000,2975.0,8.9,36,debt_consolidation,32%,FL,RENT,1000.0,702.0,7.0,9730.0,0.0,n/a
83373,6000,6000.0,7.9,36,credit_card,33.64%,WI,RENT,4116.67,707.0,16.0,33746.0,0.0,1 year
37504,7800,7800.0,10.65,36,debt_consolidation,7.15%,CO,MORTGAGE,4000.0,722.0,6.0,11063.0,2.0,9 years
95455,25000,25000.0,7.9,36,debt_consolidation,18.66%,MI,MORTGAGE,7083.33,712.0,17.0,47504.0,0.0,9 years
63,18500,3100.0,15.33,36,credit_card,5.24%,NY,RENT,7500.0,662.0,8.0,22379.0,0.0,1 year
26789,12000,12000.0,12.99,60,home_improvement,16.67%,GA,MORTGAGE,9166.67,712.0,11.0,25165.0,0.0,2 years
28032,5000,5000.0,15.99,36,debt_consolidation,5.26%,AL,MORTGAGE,2416.67,667.0,5.0,1620.0,0.0,6 years
24454,2500,2500.0,10.59,60,other,2.15%,MD,OWN,3958.0,747.0,4.0,3417.0,0.0,2 years
44163,16000,16000.0,16.29,60,debt_consolidation,5.76%,NC,MORTGAGE,5083.33,712.0,7.0,8729.0,1.0,10+ years
89884,25000,25000.0,15.31,60,debt_consolidation,3.98%,NY,RENT,5666.67,747.0,6.0,11079.0,0.0,3 years
28601,2000,2000.0,16.89,36,other,11.91%,AR,RENT,3400.0,662.0,3.0,747.0,3.0,10+ years
99913,2200,2200.0,10.16,36,major_purchase,24.15%,GA,MORTGAGE,3400.0,732.0,6.0,1453.0,0.0,5 years
7880,14000,13825.0,10.25,36,debt_consolidation,9.26%,GA,MORTGAGE,8333.33,732.0,8.0,40267.0,1.0,10+ years
64020,3000,3000.0,13.11,36,debt_consolidation,32.21%,SD,MORTGAGE,2583.33,672.0,13.0,6683.0,0.0,1 year
36527,11425,11400.0,9.91,36,debt_consolidation,19.47%,FL,MORTGAGE,4750.0,732.0,9.0,6359.0,3.0,8 years
72604,17325,17325.0,17.27,60,debt_consolidation,30.24%,CA,RENT,3750.0,707.0,13.0,31362.0,1.0,9 years
29547,5425,5425.0,8.49,36,debt_consolidation,21.16%,WV,MORTGAGE,6333.33,732.0,21.0,25996.0,3.0,10+ years
49950,20000,20000.0,22.78,60,debt_consolidation,1.63%,CA,RENT,12500.0,667.0,5.0,5407.0,0.0,5 years
34331,3300,3300.0,11.71,36,car,4.16%,FL,RENT,3730.0,702.0,7.0,3675.0,1.0,1 year
94232,2000,2000.0,17.27,36,home_improvement,20.51%,GA,MORTGAGE,3750.0,672.0,10.0,1371.0,1.0,7 years
98787,26500,26500.0,13.11,36,home_improvement,13.99%,CA,RENT,5833.33,747.0,8.0,64504.0,2.0,5 years
52440,17975,17975.0,18.55,36,debt_consolidation,18.55%,FL,RENT,4833.33,672.0,10.0,17448.0,0.0,7 years
2443,15000,14925.21,13.47,36,debt_consolidation,14.06%,NY,RENT,4458.33,702.0,15.0,7701.0,1.0,6 years
52407,16400,16350.0,13.99,60,debt_consolidation,23.60%,FL,RENT,3500.0,727.0,11.0,16693.0,1.0,5 years
46391,13500,13500.0,13.99,60,debt_consolidation,12.59%,OR,MORTGAGE,8833.33,702.0,11.0,18978.0,0.0,2 years
32183,12000,12000.0,15.27,36,debt_consolidation,3.90%,AZ,RENT,7083.33,672.0,7.0,6040.0,1.0,2 years
52061,16750,16750.0,21.48,60,debt_consolidation,21.88%,HI,RENT,2833.33,667.0,12.0,7903.0,0.0,3 years
5531,8000,8000.0,12.18,36,major_purchase,1.24%,MA,RENT,1125.0,747.0,2.0,707.0,0.0,2 years
51087,10000,10000.0,9.76,36,debt_consolidation,14.08%,LA,MORTGAGE,5416.67,712.0,8.0,10560.0,0.0,3 years
11132,10000,10000.0,15.21,36,debt_consolidation,10.93%,CA,RENT,7083.0,672.0,13.0,11890.0,0.0,3 years
7752,5525,5525.0,13.85,36,credit_card,21.03%,CA,MORTGAGE,6620.0,722.0,8.0,37573.0,2.0,10+ years
30788,17200,17200.0,19.69,60,home_improvement,9.95%,CO,RENT,3666.67,707.0,4.0,2117.0,3.0,2 years
77919,19600,19575.0,16.29,36,other,29.38%,NY,RENT,4166.67,682.0,17.0,22053.0,1.0,3 years
4841,4000,4000.0,11.48,36,debt_consolidation,22.93%,TX,MORTGAGE,3833.33,717.0,9.0,0.0,0.0,2 years
48151,13000,13000.0,13.11,36,debt_consolidation,10.58%,NH,RENT,5000.0,737.0,3.0,11090.0,1.0,1 year
2885,8000,7850.0,9.63,36,house,0.24%,KS,RENT,4250.0,792.0,4.0,132.0,3.0,5 years
647,25000,5640.7,10.08,36,home_improvement,10.42%,MA,MORTGAGE,7916.67,757.0,23.0,16386.0,0.0,4 years
9495,20000,19900.0,10.25,36,wedding,11.35%,NY,RENT,7083.33,752.0,14.0,18196.0,0.0,3 years
92367,27575,27575.0,17.27,60,debt_consolidation,18.28%,WA,MORTGAGE,7833.33,682.0,20.0,28055.0,2.0,7 years
100674,24000,24000.0,14.33,36,debt_consolidation,15.86%,CA,MORTGAGE,7500.0,672.0,5.0,2426.0,0.0,10+ years
62867,7000,7000.0,18.49,36,wedding,15.92%,IL,RENT,5000.0,662.0,11.0,13665.0,1.0,5 years
32444,12000,11975.0,16.77,60,debt_consolidation,10.71%,MD,MORTGAGE,3500.0,687.0,6.0,26874.0,0.0,10+ years
33119,14000,14000.0,19.03,60,debt_consolidation,13.52%,CA,MORTGAGE,3616.0,672.0,9.0,13923.0,0.0,2 years
4730,10000,9975.0,11.14,36,debt_consolidation,12.92%,CA,RENT,2500.0,727.0,8.0,14257.0,0.0,3 years
84738,7750,7750.0,6.03,36,debt_consolidation,22.01%,CO,RENT,4766.67,782.0,14.0,4667.0,3.0,6 years
58490,15000,11550.0,13.67,36,debt_consolidation,17.19%,TX,OWN,3333.33,692.0,8.0,10820.0,0.0,5 years
12015,15000,14950.0,11.86,36,debt_consolidation,12.20%,AR,MORTGAGE,5000.0,707.0,9.0,3470.0,3.0,10+ years
71758,25000,25000.0,15.31,36,debt_consolidation,13%,CA,RENT,5416.67,687.0,10.0,22824.0,0.0,6 years
19344,15000,14975.0,14.91,60,debt_consolidation,8.08%,NC,MORTGAGE,4407.0,722.0,8.0,15818.0,1.0,n/a
56528,5000,5000.0,16.29,36,debt_consolidation,16.06%,CT,MORTGAGE,8750.0,662.0,12.0,19598.0,1.0,2 years
17236,5000,5000.0,12.98,36,wedding,17.29%,PA,MORTGAGE,3250.0,667.0,18.0,4656.0,0.0,3 years
99541,35000,35000.0,15.31,36,debt_consolidation,15%,NJ,RENT,6666.67,682.0,22.0,33472.0,0.0,10+ years
1977,7500,6025.0,15.37,36,debt_consolidation,17.50%,CA,OWN,5000.0,677.0,11.0,16422.0,0.0,< 1 year
15197,25000,15675.0,10.36,60,home_improvement,16.26%,CA,MORTGAGE,3333.33,767.0,6.0,22713.0,1.0,10+ years
11620,3800,3800.0,11.12,36,major_purchase,15.45%,PA,MORTGAGE,5416.67,702.0,11.0,9266.0,0.0,10+ years
73232,2800,2800.0,8.9,36,other,27.76%,VA,RENT,3250.0,702.0,13.0,22401.0,0.0,10+ years
27317,6250,6250.0,7.49,36,credit_card,23.97%,AR,MORTGAGE,2900.0,732.0,13.0,21536.0,0.0,2 years
38774,18000,17994.46,9.91,36,debt_consolidation,11.85%,WA,MORTGAGE,3333.33,727.0,13.0,10416.0,2.0,5 years
73956,6000,6000.0,17.27,36,debt_consolidation,29.13%,WV,RENT,2752.92,662.0,12.0,4569.0,2.0,< 1 year
77363,20000,20000.0,14.09,36,debt_consolidation,34.91%,TX,MORTGAGE,4583.33,712.0,8.0,6510.0,1.0,2 years
71926,8000,8000.0,11.14,36,debt_consolidation,23.93%,KY,RENT,2666.67,702.0,11.0,10128.0,0.0,5 years
46024,12000,12000.0,6.62,36,home_improvement,4.81%,NY,MORTGAGE,9833.33,792.0,15.0,5584.0,2.0,10+ years
11376,24000,7100.0,11.12,60,home_improvement,11.99%,CO,OWN,5686.67,777.0,6.0,1726.0,2.0,2 years
13393,3000,2925.0,11.49,36,debt_consolidation,9.22%,CA,RENT,4900.0,692.0,6.0,3996.0,1.0,10+ years
26533,5000,5000.0,6.99,36,major_purchase,8.51%,AL,MORTGAGE,3750.0,747.0,12.0,3998.0,0.0,6 years
48955,21850,21800.0,13.99,60,debt_consolidation,17.95%,NY,RENT,3750.0,732.0,5.0,7102.0,0.0,3 years
95456,21850,21850.0,23.28,60,medical,26.95%,IL,MORTGAGE,5833.33,677.0,21.0,29643.0,2.0,3 years
102846,10000,7586.93,13.47,36,credit_card,14.20%,CA,MORTGAGE,6666.67,692.0,8.0,126402.0,2.0,9 years
2074,15000,10150.07,15.68,36,other,2.68%,IL,OWN,2500.0,682.0,6.0,3004.0,2.0,1 year
23197,9600,9600.0,7.29,36,other,9.66%,RI,RENT,6048.0,742.0,7.0,15700.0,0.0,7 years
44626,25000,24975.0,20.5,36,credit_card,14.72%,FL,RENT,7301.58,672.0,18.0,21675.0,0.0,4 years
10262,25000,14401.65,11.49,60,home_improvement,4.95%,FL,MORTGAGE,3333.33,782.0,9.0,3367.0,3.0,2 years
37041,30000,29950.0,7.9,36,home_improvement,0.34%,MA,RENT,13416.67,812.0,9.0,2174.0,3.0,10+ years
24376,20000,20000.0,16.89,60,debt_consolidation,6.83%,WA,OWN,4000.0,702.0,6.0,5845.0,0.0,10+ years
57260,14825,14825.0,13.67,36,small_business,9.55%,CA,RENT,2500.0,697.0,8.0,8073.0,1.0,2 years
81130,8000,8000.0,17.27,36,debt_consolidation,1.98%,NY,MORTGAGE,6000.0,672.0,5.0,5032.0,2.0,10+ years
38892,20000,20000.0,11.71,36,debt_consolidation,14.95%,TX,MORTGAGE,10416.67,722.0,12.0,26179.0,2.0,1 year
35468,7000,7000.0,7.9,36,medical,20.96%,TX,OWN,2300.0,767.0,4.0,0.0,0.0,10+ years
7173,20000,19900.0,10.62,36,debt_consolidation,12.58%,AL,MORTGAGE,2416.67,762.0,5.0,6011.0,0.0,1 year
102295,5000,4500.0,11.03,36,major_purchase,0.47%,PA,RENT,3166.67,682.0,5.0,4254.0,5.0,< 1 year
99065,17625,17600.0,13.11,36,credit_card,14.88%,OH,RENT,3333.33,677.0,6.0,20266.0,0.0,2 years
53234,7150,7150.0,13.11,36,debt_consolidation,12.33%,IL,RENT,3666.67,687.0,11.0,10561.0,1.0,< 1 year
16215,25000,24775.0,10.36,36,debt_consolidation,0.94%,HI,RENT,8533.33,722.0,9.0,28038.0,0.0,10+ years
77494,15000,15000.0,14.33,36,debt_consolidation,33.42%,AZ,RENT,4500.0,677.0,20.0,13369.0,0.0,< 1 year
66072,9000,9000.0,6.62,36,debt_consolidation,13.85%,MA,RENT,4166.67,767.0,5.0,7853.0,0.0,1 year
6976,17600,17600.0,16.35,36,debt_consolidation,17.35%,PA,MORTGAGE,7500.0,667.0,16.0,14555.0,0.0,7 years
22259,10000,10000.0,12.68,36,debt_consolidation,13.96%,IL,RENT,2500.0,692.0,6.0,10481.0,1.0,< 1 year
15470,11200,11000.0,15.2,60,home_improvement,16.47%,VA,MORTGAGE,6750.0,677.0,15.0,19051.0,0.0,4 years
84805,13225,13225.0,15.31,36,debt_consolidation,27.07%,CA,RENT,5833.33,682.0,11.0,18569.0,1.0,10+ years
69014,4000,4000.0,11.14,36,other,33.80%,FL,MORTGAGE,3333.33,702.0,12.0,12922.0,0.0,4 years
